group,state,species,mass_g,metabolic_rate_W
prokaryote,endogenous,Francisella tularensis,1e-14,9.86e-18
prokaryote,active,Mycoplasma bovis,1.4e-14,2.8e-17
prokaryote,endogenous,Acholeplasma laidlawii,4e-14,1.49e-17
prokaryote,active,Mycoplasma capricolum,6e-14,1.2e-16
prokaryote,endogenous,Nocardia farcinica,1e-13,3.74e-16
prokaryote,active,Leptospira sp.,7e-14,2.81e-15
prokaryote,endogenous,Haemophilus influenzae,1.4e-13,1.86e-17
prokaryote,active,Streptococcus pyogenes,1.8e-13,3.24e-15
prokaryote,endogenous,Vibrio sp.,1.4e-13,5.66e-17
prokaryote,active,Lactococcus lactis,2e-13,3.34e-15
prokaryote,endogenous,methylotrophus,1.5e-13,5.14e-17
prokaryote,active,Neisseria gonorrhoeae,2e-13,1.65e-15
prokaryote,endogenous,Paracoccus denitrificans,1.6e-13,5.99e-16
prokaryote,active,Streptococcus pneumoniae,2.5e-13,2e-15
prokaryote,endogenous,Pseudomonas oleovorans,1.6e-13,2.38e-16
prokaryote,active,Mycoplasma gallisepticum,2.6e-13,5.2e-16
prokaryote,endogenous,Achromobacter ruhlandii,2e-13,1.35e-15
prokaryote,active,Streptococcus thermophilus,2.6e-13,3.04e-16
prokaryote,endogenous,Arthrobacter sp.,2e-13,1e-16
prokaryote,active,Neisseria meningitidis,3e-13,4.96e-15
prokaryote,endogenous,Enterococcus faecalis,2e-13,2.71e-17
prokaryote,active,Streptococcus agalactiae,3e-13,9.75e-15
prokaryote,endogenous,Lactococcus lactis,2e-13,5.41e-17
prokaryote,active,Aerobacter aerogenes,4e-13,2.45e-14
prokaryote,endogenous,Mycobacterium tuberculosis,2e-13,1.17e-16
prokaryote,active,Enterococcus cecorum,4e-13,1.62e-14
prokaryote,endogenous,Neisseria elongata,2e-13,7.49e-16
prokaryote,active,Vibrio sp. DW1,4.5e-13,3.19e-14
prokaryote,endogenous,Neisseria flava,2e-13,1.08e-15
prokaryote,active,Bdellovibrio bacteriovorus,5e-13,6.32e-15
prokaryote,endogenous,Neisseria gonorrhoeae,2e-13,3.2e-17
prokaryote,active,Corynebacterium sp.,5e-13,2.41e-14
prokaryote,endogenous,Neisseria mucosa,2e-13,1.35e-15
prokaryote,active,Staphylococcus epidermidis,5e-13,1.67e-14
prokaryote,endogenous,Neisseria sicca,2e-13,1.17e-15
prokaryote,active,Pseudomonas aeruginosa,6e-13,5.34e-13
prokaryote,endogenous,Streptococcus pyogenes,2e-13,2.98e-16
prokaryote,active,Rhizobium leguminosarum,6e-13,1e-14
prokaryote,endogenous,Nitrobacter winogradskyi,2.4e-13,1.08e-15
prokaryote,active,Zymomonas mobilis,6e-13,5.25e-14
prokaryote,endogenous,Thiobacillus ferrooxidans,2.5e-13,8.34e-17
prokaryote,active,Burkholderia sp. JT1500,6.6e-13,9.83e-14
prokaryote,endogenous,Thiobacillus thiooxidans,2.5e-13,1.98e-16
prokaryote,active,Bradyrhizobium sp.,7e-13,3.09e-14
prokaryote,endogenous,Xanthomonas axonopodis,2.5e-13,4.17e-15
prokaryote,active,Bacillus licheniformis,8e-13,4.65e-14
prokaryote,endogenous,Staphylococcus aureus,2.7e-13,1.15e-15
prokaryote,active,Enterococcus sp. RfL6,8e-13,3.72e-14
